"SAMPLEID"	"INDEX_NAME"	"SITE_TYPE"	"L1"	"L2"	"L3"	"L4"	"L5"	"L6"
"7955.4-60_10_23_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.84821428571429	0.15178571	0	0
"7955.4-8_10_1_2018_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.4-9_10_2_2018_1_First"	"BCG_CT_2015"	"bug01"	0	1	0	0	0	0
"7955.6-1_8_19_2019_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.6-10_10_2_2019_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.98104265402844	0.01895735	0	0
"7955.6-11_10_2_2019_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"7955.6-12_10_2_2019_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.6-13_10_2_2019_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.6-14_10_3_2019_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.6-15_10_3_2019_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"7955.6-16_10_3_2019_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"7955.6-17_10_4_2019_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"7955.6-18_10_4_2019_1_First"	"BCG_CT_2015"	"bug01"	0	1	0	0	0	0
"7955.6-19_10_4_2019_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.86274509803922	0.1372549	0
"7955.6-2_10_1_2019_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.69811320754717	0.30188679	0
"7955.6-20_10_7_2019_1_First"	"BCG_CT_2015"	"bug01"	0	1	0	0	0	0
"7955.6-21_10_7_2019_1_First"	"BCG_CT_2015"	"bug01"	0	0.602040816326531	0.39795918	0	0	0
"7955.6-22_10_7_2019_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"7955.6-23_10_7_2019_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	0.75	0.25
"7955.6-24_10_7_2019_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.00371747211896012	0.99628253	0
"7955.6-26_10_8_2019_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.6-27_10_8_2019_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.6-28_10_8_2019_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.6-29_10_9_2019_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.58333333333333	0.41666667	0	0
"7955.6-3_10_1_2019_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"7955.6-31_10_9_2019_1_First"	"BCG_CT_2015"	"bug01"	0	0.61111111111111	0.38888889	0	0	0
"7955.6-33_10_9_2019_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.18885448916409	0.81114551	0	0
"7955.6-34_10_9_2019_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.0341880341880301	0.96581197	0	0
"7955.6-36_10_9_2019_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"7955.6-37_10_15_2019_1_First"	"BCG_CT_2015"	"bug01"	0	0.92857142857143	0.07142857	0	0	0
